dep,revratio2022,revratioadu2022,revratiofoy2022,revtot2022,pop2022_x,nadult2022,nfoyer2022,revmoyfoy2022,revmoyadu2022,revmoy2022,pibhab2022,pib2022,pop2022_y,nodiph2022,nodipf2022,nodip2022,bach2022,bacf2022,bac2022,suph2022,supf2022,sup2022,pbac2022,psup2022,popf2022,poph2022,popf0142022,popf15392022,popf40592022,popf60p2022,poph0142022,poph15392022,poph40592022,poph60p2022,agef2022,ageh2022,age2022,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
35,0.93872499,0.95411444,1.0058911,0.015943181,1126756,841414,598487,33228.043,23634.682,17693.639,0.98014748,0.016691264,1126756,170300,175907,346191,62058,67549,129362,131873,153638,285372,0.54503924,0.37503302,578166,552346,103746,175866,146447,152107,110450,174535,147722,119639,41.22703498253934,38.4815732796237,39.88565667332175,1130512,0.51141959,0.48435077,0.50189924,0.49783286,0.55973959,0.18946813,0.30994895,0.26020864,0.24037427
36,0.86284959,0.80852699,0.79410893,0.0027632036,212457,177202,135294,26232.15,20028.287,16263.495,0.67562068,0.0021694112,212457,51628,53608,105173,11419,15063,26124,15336,19587,34623,0.36612222,0.20867285,113894,104726,15948,23823,29879,44244,15921,22587,29133,37085,48.52504621906954,46.12188429007694,47.37385438614233,218620,0.5209679,0.50042361,0.51331609,0.50632077,0.54401261,0.14577349,0.21228616,0.26992956,0.3720108
37,0.95923507,0.94731432,0.95202333,0.0089099947,616234,481458,359253,31448.607,23466.234,18080.225,0.82939446,0.0077245771,616234,107079,116074,223098,34650,38205,72457,66856,80616,147313,0.49624267,0.33263409,327095,297787,53468,89974,80908,102745,54755,83554,79598,79880,43.7414091329336,41.30475270675721,42.58022263509601,624882,0.52345085,0.49405393,0.51849848,0.50408083,0.56260097,0.17318949,0.27769724,0.25685808,0.29225516
38,0.98716187,0.99705124,1.026081,0.019324828,1298735,986178,718599,33894.984,24698.283,18606.605,0.94855547,0.018618777,1298735,207869,214558,422315,66738,77798,143990,157922,179889,337510,0.53274179,0.3734282,673078,639222,123529,190032,173538,185979,124427,190377,176884,147534,42.01521505124185,39.58183478519553,40.82991418604933,1312300,0.51289952,0.49818918,0.49954653,0.49522576,0.55763644,0.18894765,0.28987959,0.26702887,0.25414386
39,0.93252158,0.91393977,0.92645013,0.0036225023,257717,207770,153700,30603.836,22639.502,17576.713,0.71934152,0.0028018579,257717,54692,55749,110180,17241,19990,36471,23006,28513,50905,0.44228473,0.25767377,138881,131216,22873,33036,36690,46282,23845,32911,36484,37976,45.61752686102376,42.68851042753196,44.19457943296651,270097,0.51418936,0.48959717,0.50094771,0.50140762,0.54928911,0.17296749,0.24416043,0.27091748,0.31195459
40,0.94903237,0.9107998,0.90201396,0.006106846,426903,338817,256549,29796.625,22561.721,17887.918,0.71411914,0.0046075257,426903,86393,90582,176920,26565,32412,58639,39372,46094,85213,0.4484556,0.26564974,220588,207474,32855,49731,58226,79776,35634,50623,56059,65158,47.02500415128047,43.76996973797206,45.4473468093918,428062,0.51531786,0.47971207,0.49555573,0.50948066,0.55042988,0.15999785,0.234438,0.26698235,0.3385818
41,0.91369599,0.8921538,0.90471292,0.004481155,325373,264456,195559,29885.781,22099.834,17221.877,0.72070491,0.0035441075,325373,73455,76489,149883,17684,22146,39482,27890,34076,61702,0.40301594,0.2457591,176035,166532,29247,40005,45524,61259,29849,41104,44842,50737,46.04705290741687,42.84445161438978,44.49017306100773,342567,0.5138703,0.4949066,0.49322516,0.50377357,0.5469749,0.17250931,0.23676828,0.26379073,0.32693166
42,0.86761868,0.86319155,0.88570684,0.010121755,773963,595149,434949,29257.945,21382.4,16353.386,0.8136059,0.0095170457,773963,146479,155498,301889,43475,50296,93382,66562,82280,148705,0.44503251,0.27336684,401468,377280,68200,106085,98376,128807,72419,107323,95365,102173,44.13406161645671,40.86643276813174,42.55099383691611,778748,0.51553005,0.48499846,0.49709946,0.50777066,0.55765432,0.1805706,0.27403986,0.24878523,0.29660431
43,0.85398805,0.8227095,0.83843416,0.002942302,228575,183865,135292,27696.365,20379.607,16096.467,0.62262672,0.0021509205,228575,48268,46782,94894,14597,16710,30931,19639,26352,45684,0.44671124,0.26636502,118682,114089,18717,26139,33004,40822,19328,28639,32675,33447,46.47757862353537,43.23315146061988,44.887373987395,232771,0.50986594,0.49197003,0.47718063,0.50250459,0.54965061,0.16344389,0.23533,0.28216144,0.31906465
44,0.98690802,1.0082753,1.032321,0.022474652,1510809,1116542,817777,34101.113,24976.316,18601.82,0.9837001,0.022461575,1510809,218466,243953,462410,80049,89746,169787,187640,207733,395362,0.54999179,0.38475844,774197,728152,141774,230262,189525,212636,147267,230849,188252,161784,41.47019797710563,38.53039901023091,40.04534857202683,1502349,0.51532435,0.49049789,0.49936348,0.50168484,0.56790769,0.19239271,0.3069267,0.25145754,0.24922305
